representation,group,family,population,seed,value,baseline,difference,measure
mcndroid-static,family,adwo,own-domain,338,0.64,0.22,0.42000000000000004,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,330,0.916095890410959,0.9460616438356164,-0.02996575342465746,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,331,0.772986167615948,0.9462978030919447,-0.1733116354759967,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,332,0.5357787131689717,0.6055321707757065,-0.06975345760673479,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,333,0.6269767441860465,0.7246511627906976,-0.09767441860465109,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,334,0.4586518415566366,0.4475330090340514,0.011118832522585165,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,335,0.4763779527559055,0.5922384701912261,-0.11586051743532061,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,336,0.5660809778456837,0.5653170359052712,0.0007639419404125158,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,337,0.9176658673061551,0.8784972022382095,0.039168665067945585,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,338,0.36249073387694586,0.3780578206078577,-0.015567086730911839,central-full-exposure-recall
mcndroid-static,family,airpush,federation-wide,339,0.5142314990512334,0.4946236559139785,0.019607843137254943,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,330,0.8461538461538461,0.7948717948717948,0.05128205128205132,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,331,0.6774193548387096,0.8709677419354839,-0.19354838709677424,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,332,0.9666666666666667,1.0,-0.033333333333333326,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,333,0.9285714285714286,0.9571428571428572,-0.02857142857142858,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,334,0.9225806451612903,0.8451612903225807,0.07741935483870965,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,335,0.966824644549763,0.985781990521327,-0.018957345971563955,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,336,1.0,1.0,0.0,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,337,0.9147894221351616,0.8765915768854065,0.038197845249755114,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,338,0.8571428571428571,0.9047619047619048,-0.04761904761904767,central-full-exposure-recall
mcndroid-static,family,airpush,own-domain,339,0.9725274725274725,0.9835164835164835,-0.01098901098901095,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,330,0.7684544405997693,0.7168396770472895,0.05161476355247985,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,331,0.9738675958188153,0.9779326364692218,-0.004065040650406471,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,332,0.8787441356910862,0.8780223745940093,0.0007217610970768895,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,333,0.9751574527641708,0.9846046186144157,-0.009447165850244965,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,334,0.8061073228579899,0.8111473465757486,-0.00504002371775869,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,335,0.7711970074812967,0.8011221945137157,-0.029925187032418976,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,336,0.9770114942528736,0.9825944170771757,-0.005582922824302061,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,337,0.762029093621783,0.8082804923535994,-0.046251398731816495,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,338,0.9621722846441948,0.9700374531835206,-0.00786516853932584,central-full-exposure-recall
mcndroid-static,family,dowgin,federation-wide,339,0.7074297902595095,0.6953430501244223,0.012086740135087148,central-full-exposure-recall
mcndroid-static,family,dowgin,own-domain,330,0.7705827937095282,0.7329633055812519,0.03761948812827631,central-full-exposure-recall
mcndroid-static,family,dowgin,own-domain,331,0.8888888888888888,0.6666666666666666,0.2222222222222222,central-full-exposure-recall
mcndroid-static,family,dowgin,own-domain,332,0.8858465098341689,0.8866178172001543,-0.0007713073659854075,central-full-exposure-recall
mcndroid-static,family,dowgin,own-domain,333,0.6875,0.75,-0.0625,central-full-exposure-recall
mcndroid-static,family,dowgin,own-domain,334,0.7569060773480663,0.5911602209944752,0.16574585635359107,central-full-exposure-recall
mcndroid-static,family,dowgin,own-domain,335,0.7391304347826086,0.6183574879227053,0.12077294685990336,central-full-exposure-recall
mcndroid-static,family,dowgin,own-domain,336,0.9375,0.9375,0.0,central-full-exposure-recall
